Awarding Department,Scholarship Intent,Criteria,Major,Class Level,Enrollment Status,Enrollment Requirement,Financial Need as determined by the FAFSA and/or CA Dream App,Citizenship,GPA,Contact Person,Campus Address,Street Address,Phone Number,Email,Web page,Number of Awards,Award,Scopes,Deadline,Supplemental Questions
 Creative Writing, To assist students with expenses related to studying abroad., Business Administration major with concentration in Information Systems. Must show financial need., Single Creative Writing, Undergrad:  Any; Grad:  Masters (any) or 2nd BA, Any, Undergrad: * 3 UNITS; Grad:  * 3 UNITS, Demonstrate financial need, N/A, HS GPA:  N/A; Undergrad GPA:  3.0; Grad GPA:  3.0, Creative Writing Department, MH 339," 1600 Holloway, San Francisco, California 94132", (415) 338-2742, lcastudentservices@sfsu.edu, Library/Friends of the Library, varies,"Number of awards and amounts vary, up to $25,000 total (single award not to exceed $7,000)",Kinesiology,03/27/2024,"Personal Statement (in English, 350 words maximum) Describe your education and career objectives, and specify how translation/interpretation will be a key part of it. You may also describe personal or academic achievements, challenges you have faced in your pursuit of an education, or any information you deem will be helpful to the Scholarship Review Committee. Transcript: Please upload your current academic transcript. Unofficial transcripts are acceptable. Recommendation: Confidential letter of recommendation request - Please include the name and e-mail of a faculty member, employer, or other person who knows you well and can provide a reference on your behalf. Applicants must be available for an in-person interview by the committee. Applicants attest that they will continue in full-time student status throughout the Spring 2019 and Fall 2019 semesters, or else risk revocation of the award."
 Kinesiology," This is a yearly contest, with a monetary prize given for the best original work of short fiction, written by a Creative Writing student, either BA or MA or MFA."," Academic achievement, dedication to your field, and a statement of financial need.", Single:  Kinesiology," Undergrad:  Freshman, Sophomore, Junior, Senior, 2nd BA; Grad:  Masters/MFA", Continuing and currently enrolled new admits, Undergrad:  1 UNIT; Grad:  1 UNIT, Not a Requirement, Any, HS GPA:  N/A; Undergrad GPA:  N/A; Grad GPA:  3.5, Kinesiology Dept., SSB 403," 1600 Holloway, San Francisco, California 94132", (415) 338-1787, cwriting@sfsu.edu, http: //fina.sfsu.edu/scholarships, varies,"Number of awards and amounts vary, up to $6,000 total",Philosophy,10/28/2024,"A personal statement (typed, double-spaced, not to exceed two paragraphs) describing your project and explaining how your project contributes to Equity, Diversity, Inclusion and Access. Please upload unofficial transcript Work sample from a project and/or a completed script (submitted via a Vimeo or YouTube link) Will you be enrolled full-time (12 units undergraduate, 9 units graduate) during the Fall 2021 and Spring 2022?"
" Institute for Civic & Community Engagement
This scholarship will be awarded Spring 2018, AY 2017-2018"," Provide financial assistance to full-time and part-time graduate Kinesiology majors on the basis of scholarship, financial need and service to the Department."," Applicants should have completed at least six units in the German program at SFSU; Scholarship committee will consider successful progress in the major, contributions to the program or the department, and need; Applicants state whether or not receiving financial aid or other scholarships;", Any," Undergrad:  Any, 2nd BA; Grad:  Masters/MFA", Any, Undergrad:  N/A; Grad:  6 UNITS, Demonstrate financial need through a written essay, Any, HS GPA:  N/A; Undergrad GPA:  2.0; Grad GPA:  N/A, Institute for Civic and Community Engagement, FA 293," 1600 Holloway Ave., San Francisco, California 94132", (415) 338-3888, kinesiol@sfsu.edu, http: //coe.sfsu.edu/grad/scholarship-listings, varies,$100.00,Graduate College of Education,03/29/2019,Describe what motivates you to study or work with children with disabilities? What are your educational and career goals and how will this scholarship help you to reach your goals? Describe your community involvement with children. Describe your experience working with young children with disabilities and how you provided them with quality educational experiences. Please upload a current resume. Show 2 more
 Sexuality Studies," The annual Civic & Community Engagement Awards ceremony honors students whose leadership, service, and collaboration strengthen the bonds of engagement that connect the University and the community."," Must have academic qualification and Hospitality & Tourism Management student organizations involvement, and professional intent.", Single:  Sexuality Studies," Undergrad:  N/A, Grad:  Masters", Continuing, Undergrad:  N/A; Grad:  8 UNITS, Not a Requirement, Any, HS GPA:  N/A; Undergrad GPA:  3.0; Grad GPA:  3.0, Sexuality Studies, MH 339," 1600 Holloway Ave., San Francisco, California 94132", (415) 338-2176, icce@sfsu.edu, kin.sfsu.edu/scholarships, varies,Amount up to $1000,Associated Students,05/07/2018,"Please explain in 250 word, or less, how the scholarship will support your academic studies and professional goals. In 500 words, or less, describe your own personal life philosophy and how that informs and guides you toward your personal, academic and future professional goals. This statement should include a description of how your work embodies the values and philosophy represented by Jessica Orozco’s life. In 250 words, or less, provide a detailed description of your favorite plant. Include scientific name, common name, a picture, medicinal uses, where it originated from, what zone it’s able to be grown in, and why it’s your favorite plant. Please provide a statement (of any length) that explains your own economic background and/or your work within the communities represented by American Indian Studies. For graduate students, please indicate if your concentration is in American Indian Studies."
 Chemistry and Biochemistry, Awards a second year MA student in the Sexuality Studies Department for academic excellence and educating the public in sexuality issues., Must be continuing students in accounting. Must have at least a 2.5 gpa in the accounting major. Preference for student with financial need., Single:  Chemistry, Undergrad:  Any; Grad:  Any, Continuing, Undergrad:  N/A; Grad:  3 UNITS, Not a requirement, Any, HS GPA:  N/A; Undergrad GPA:  N/A; Grad GPA:  3.0, Chemistry and Biochemistry Department, Library 120A," 1650 Holloway Avenue, San Francisco, California 94132", (415) 338-1787, sxsdept@sfsu.edu, http: //chss.sfsu.edu/, varies,$350.00,Modern Languages and Literatures,11/01/2023,Please provide a statement of financial need. Why do you need this scholarship?
 Earth & Climate Sciences, To provide an annual award to an outstanding graduate teaching assistant in the lower division chemistry laboratory courses.,"
1. Intent to pursue a biomedical research career relevant to community health.
2. Interest in working with historically underrepresented communities.", Multiple:  Any BS program in Earth & Climate Sciences," Undergrad:  N/A, Grad:  Masters", Continuing, Undergrad:  6 UNITS; Grad:  N/A, Not a Requirement, Any, HS GPA:  2.5; Undergrad GPA:  2.5; Grad GPA:  2.5, School of the Environment, BH 329," 1600 Holloway Avenue, San Francisco, California 94132", (415) 338-6262, chemist@sfsu.edu, Department of Philosophy, Varies,$1.00,Cinema,03/15/2024,"Describe your commitment to developing your leadership skills and how you use these skills in the service of our communities. Relate this leadership and service to some portion of what you have learned in Ethnic Studies. Upload your latest academic transcript. Unofficial transcripts are acceptable. Please provide the name and e-mail of an individual who can provide a reference on your behalf. Your reference provider should be a professor or community leader familiar with your academic, professional and/or community work. Please be sure to communicate to the individual that you are listing them as a reference provider and give them context on the scholarship for which you are applying so they can tailor their reference."
, The intent of the scholarship is to support an undergraduate student who is enrolled in a BS program in the Department of Earth & Climate Sciences and has senior standing., N/A," Single:  Business Administration,"," Undergrad:  N/A, Grad:  Masters", Continuing, Undergrad:  1 UNIT; Grad:  1 UNIT, Statement of financial need, Any, HS GPA:  N/A; Undergrad GPA:  3.25; Grad GPA:  3.25, Student Services Center, BH 240," 1600 Holloway Ave., San Francisco, California 94132", (415) 338-1219, sote@sfsu.edu, http: //gcoe.sfsu.edu/current-students/scholarships, varies,"$1,000.00",Child & Adolescent Development,04/08/2024,"Essay 1: Where have you been? Describe your previous community service and impact, relevant work experience, or other life experiences that qualify you for a GCOE scholarship. (approx. 200 words; 6 points possible) Essay 2: Where do you want to go? Describe your educational and career goals, why these are important to the communities that you are going to serve, and how a scholarship could help you meet these goals. (approx. 200 words; 6 points possible) Essay 3: What do you need? Describe your working situation or other financial circumstances that increase your need for assistance. (approx. 200 words; 6 points possible) Essay 4: How are you a good match for this specific scholarship? Describe how the intent of this award will help you to achieve your educational and career goals. (100 words; 3 possible points"
 Consumer and Family Studies/Dietetics, To provide scholarship aid to economically disadvantaged students at San Francisco State University that are pursuing careers in information technology and computer science.,"
1) Part time minimum enrollment at SF State or enrolled in at least half-time at another college or high school senior at the time of application.
2) Applicants must complete the supplemental questions, supported by a letter of recommendation.
3) Applicants must demonstrate an exceptional level of involvement in the civic leadership at San Francisco State University through volunteer work with student organizations and/or community service groups off-campus empowering youth."," Multiple:  Apparel Design and Merchandising, Dietetics, Family and Consumer Sciences, Interior Design."," Undergrad:  Junior, Senior; Grad:  N/A", Any, Undergrad:  6 UNITS; Grad:  6 UNITS, Not a Requirement,, HS GPA:  N/A; Undergrad SF State or cumulative GPA:  3.0; Grad SF State or cumulative GPA:  3.0, Nancy Rabolt, GYM 101," 1600 Holloway, San Francisco, California 94132-4011", (415) 338-2389, cobssc@sfsu.edu, http: //dos.sfsu.edu/content/student-life, varies,"1-2 awards, $2500 each",College of Ethnic Studies,10/31/2022,"In 500 words or less, please discuss your current financial need and how this scholarship will help you. In 500 words or less, please describe your most meaningful academic achievement and how it relates to your future goals. Upload a copy of your resume. In addition to your employment and volunteer history, please also include any awards/distinctions you have earned if applicable. Please upload a copy of your latest transcripts. Unofficial transcripts are acceptable. Depending on your grade level, these can be from high school, community college, 4-year college/university, or graduate school."
 Foreign Languages and Literatures, This scholarship provides a gift certificate for the SF State Bookstore for students enrolled in the Fall semester who are declared majors listed below.,"
1) A student who meets or exceeds Art Department’s minimum standards for academic and artistic achievement/ progress
2) Self- described financial need", Single:  German, Undergrad:  Any, Continuing, Undergrad:  6 units, Not a Requirement, Any, HS GPA:  N/A; Undergrad GPA:  3.5; Grad GPA:  3.5, Ilona Vandergriff, HSS 239," 1600 Holloway, San Francisco, California 94132", (415) 338-2244, nrabolt@sfsu.edu, http: //mll.sfsu.edu/," varies
Amount of Awards:  varies","$1,500.00",Africana Studies,09/11/2015,"Submit an essay (250-750 words) addressing: (a) your future career goals and how this scholarship will help you pursue them; (b) an explanation of your financial need; (c) your participation in research activities at SF State or as part of an REU program, and/or your participation in extracurricular activities or jobs that speaks to your leadership and/or service to your community; (d) obstacles and challenges you have faced and any lessons you have learned. One letter of recommendation from a college instructor related to your major (due by the established deadline). A second letter of recommendation from a college instructor, employer, or a person knowledgeable about your physics and/or astronomy research and/or extracurricular activities that can speak to your leadership and/or service contributions to your community (due by the established deadline). Upload all college transcripts (unofficial transcripts are acceptable)."
 Hospitality & Tourism Management, To recognize outstanding achievement among students in the German Program.,"
1) Candidate must have a GPA of 3.0 or higher.
2) Candidate must submit an essay of no more than seven hundred (700) words that describes their academic and career goals in a specific area of interest in the broadcast communications arts; the topics of extra-curricular/volunteer work and financial need also may be included.
3) Candidates must submit one (1) recommendation of their academics and/or extracurricular work written by a SF State BECA faculty member or off-campus supervisor.", Single:  Hospitality & Tourism Management," Undergrad:  Freshman, Sophomore, Junior, Senior; Grad:  Masters", Continuing, Undergrad:  1 UNIT; Grad:  N/A, Not a Requirement, Any, HS GPA:  N/A; Undergrad Cum GPA:  2.5; Grad GPA:  N/A, Hospitality and Tourism Management, Humanities 389," 1600 Holloway Avenue, San Francisco, California 94132", (415) 405-3533, vdgriff@sfsu.edu, cinema.sfsu.edu/, 1,$100.00,Social Work,10/19/2019,"Will you be employed by Associated Students during the Fall 2024? Will you be appointed to an AS BOD position in Fall 2024? Will you be enrolled in 6 units or more during Fall 2024? Is your current cumulative GPA 2.5 or above? Short Answers: The questions below will provide the reviewers of your application with more information about your educational goals, career goals, community involvement, leadership roles, and what you hope to achieve in the future. Limit responses to a maximum of 300 words for each question. Describe how this scholarship will contribute to your financial need and academic success? (Max 300 words) How have you demonstrated leadership and a commitment to serving others through your campus involvement and/or community service? (Max 300 words) Tell us about a time in your life when you overcame an inequity or advocated for social justice. What did you learn from the experience? (Max 300 words) What are your educational goals and where do you see yourself 5 years after you graduate from college? (Max 300 words) Show 1 more"
 Accounting," Funding for students in need, students to develop career potential in Hospitality & Tourism Management, and award of merit performance in academic and hospitality related experiences.
The purpose of Bakers Dozen SF’s gift is to provide support for two promising students within the Hospitality & Tourism Management Department who are pursuing a career in culinary arts and restaurant management, with a preference for those interested in professional baking."," Financial need (determine by student statement), professional goals, and GPA."," Single:  Accounting,", Undergrad:  Any; Grad:  N/A, Continuing, Undergrad:  HALF-TIME; Grad:  HALF-TIME, Not a Requirement, Any, HS GPA:  N/A; Undergrad GPA:  3.0; Grad GPA:  N/A, Jeff Chun, BH 506B," 1600 Holloway, San Francisco, California 94132", (415) 338-2470, N/A, http: //cad.sfsu.edu/, 2,$500.00,Music,03/30/2023,"Please submit an essay of no more than 500 words describing your qualifications for the Edward Said scholarship detailing your interdisciplinary career goals and your experience working with Arab and Muslim communities. Please be sure to mention your course-work in the AMED program. If you are a graduate student, please describe the focus of your MA thesis within AMED studies. Please select two individuals who can provide a reference on your behalf speaking to your qualifications for the Edward Said scholarship. Please provide the name and e-mail of your first reference. Please provide the name and e-mail of your second reference. Please upload your current CV or resume. Please upload your latest academic transcript. Unofficial transcripts are acceptable."
 SF BUILD, To provide scholarships to accounting students showing merit and need., Must have a credential objective or emphasis in moderate to severe or severely handicapped. Preparing to enter semester of student teaching., Any," Undergrad:  Any, Grad:  2nd BA/Masters", Continuing, Undergrad:  12 UNITS; Grad:  N/A, Not a Requirement, Any, HS GPA:  N/A; SF State Undergrad GPA:  3.0; SF State Grad GPA:  3.0, Audrey Parangan-Smith, SSB 403," 1600 Holloway, San Francisco, California 94132", (415) 338-1031, jeffchun@sfsu.edu, American Indian Studies, varies,"$1,000.00",College of Ethnic Studies,03/31/2024,"This scholarship requires the demonstration of financial need through FAFSA. Have you submitted your FAFSA for the upcoming academic year? Please note that this requirement is confirmed by the Officie of Financial Aid before awards can be made. Please upload your SFSU unofficial transcript in PDF form here. If you are an ENTERING student, you may upload your transcript from the most recent institution you attended. Personal statement (not to exceed 700 words): Describe your interest and curiosity in the world around you culturally and intellectually as well as the value of education in the arts. Describe how you will benefit from this scholarship. Describe which of your experiences -- academic or extracurricular -- has given you the greatest personal satisfaction. Scholarship funds are disbursed in the following academic year. Students graduating this spring and summer are not eligible. What semester are you graduating? Please provide the name and e-mail of an individual who can provide a reference on your behalf. Your reference provider should be familiar with you and able to speak to your personal, professional and/or academic achievements. Faculty, colleagues or mentors are highly recommended. Please be sure to inform the individual that you are listing them as a reference provider and provide them context on the scholarship for which you are applying so they can tailor their reference accordingly, and inform them that the letter must be submitted by the application deadline."
 BECA, Professional development in biomedical research.,"
1) Students must address how the funds will help them graduate from the kinesiology program and how they plan to use the funds.
2) Students who meet the AB540 definition are eligible to apply.
3) Must apply for financial aid using the Free Application for Federal Student Aid (FAFSA) or the California Dream Application.
4) Must have financial need as determined by FAFSA or the California Dream Application.", BECA," Undergrad:  Freshmen, Sophmore, Junior, Senior and Graduating Senior and 2nd BA Grad:  Masters", Continuing, Undergrad:  6 UNITS; Grad:  N/A, Not a Requirement, Any, HS GPA:  N/A; Undergrad GPA:  3.0; Grad GPA:  N/A, BECA Department, HUM 475," 1600 Holloway, San Francisco, California 94132-4011", (415) 338-3888, sfbuild@sfsu.edu, http: //africana.sfsu.edu/, 2,"$1,500",Graduate College of Education,02/12/2024,"What significant factors or events in your life contributed to your desire to succeed in college? What are your educational goals and what steps have you taken to work towards them? How have you demonstrated a serious commitment to helping others access higher education or acted as a role model by promoting higher education? Demonstrate how you would go about overcoming a challenge in your life using an example from your past. How has your immigration story impacted your college education, and how might this story empower other students to pursue a college education, regardless of their immigration status?"
 Division of Student Life, The purpose of the Marty Gonzalez Student Scholarship in News and Sports fund is to honor the student recipients for the high quality of their academic achievement in Broadcast and Electronic Communications Arts and assist them in devoting their creative energy to the study and advancement of the areas of news and/or sports.,"
1. Demonstrate financial need through the submission of a statement of financial need.", Any, HS Seniors:  N/A; Undergrad:  Senior; Grad:  N/A, Continuing and Entering SFSU Students., Undergrad:  12 UNITS; Grad:  9 UNITS, Not a Requirement, US Citizen/Perm Res, HS GPA:  N/A; Undergrad GPA:  N/A; Grad GPA:  3.0, Division of Student Life, FA 245," 1600 Holloway, San Francisco, California 94132", (415) 338-7797, beca@sfsu.edu, N/A, 5,"$2,000",College of Business,04/19/2024,"Submit a personal statement (typed, double-spaced, not to exceed two paragraphs) describing your documentary film project OR an abstract of your critical work on a topic related to documentary film project (not to exceed 300 words, plus at least 3 bibliographical sources) Please include a Vimeo or YouTube link with a sample clip of the project or, if not available, then a sample of a previous documentary which you directed Please upload unofficial transcript Will you be enrolled full-time (8 units graduate) during the Fall 2024?"
 School of Art, To provide assistance and support the educational advancement of students by awarding money to eligible SF State students.,"
A) Must submit the following on the Cal State Apply application: 
1. One (1) letter of recommendation
2. Unofficial transcripts from the student’s prior degree program(s)
3. Writing sample (can be a paper from a class)
4. Statement of purpose (no more than 3 pages)
B) Must apply separately through Academic Works; Explanation of why the scholarship would be
useful and additional information the applicant thinks would be useful in evaluating the application.", Single:  Art, HS Seniors; Undergrad:  Any; Grad:  N/A, Continuing SF State students, Undergrad:  12 UNITS; Grad:  N/A, No, ANY (AB540 STUDENTS MAY ALSO APPLY), HS GPA:  N/A; Undergrad GPA:  2.75; Grad GPA:  N/A, School of Art, SCI 394," 1650 Holloway Avenue, San Francisco, California 94132", (415) 338-1629, dos@sfsu.edu, http: //music.sfsu.edu/scholarships, varies,"$1,000.00",Music,02/04/2024,"List and briefly explain your professional work/academic courses and community activities that underscore your commitment to racial justice, equity, and/or diversity. (example: working for Habitat for Humanity or other community based service related to design/architecture). Please describe your professional goals in your field and how they could make a difference in the lives of diverse individuals, families, and/or communities."
 BECA, To provide financial assistance to students majoring in Art at SF State University.,"
1) Students admitted and enrolled in Multiple, Single or Education Specialist credential program at SF State.
2) Financial need to be substantiated via written statement.", BECA, HS Seniors; Undergrad:  Any; Grad:  Masters/Credential/2nd BA, Any, Undergrad:  6 Units, Statement of financial need, Any, HS GPA:  3.0; Undergrad Cum or SF State GPA:  3.0; Grad Cum or SF State GPA:  3.0, BECA Department, EP 103," 1600 Holloway Ave., San Francisco, California 94132", (415) 405-3911, sch_art@sfsu.edu, https: //ethnicstudies.sfsu.edu/scholarships, varies,"$1,500.00","College of Business, Economics",04/01/2024,Please provide a brief description of how your experience as a student at SF State has been personally affected by domestic violence and how this scholarship would help you reach your educations goals. Responses should be limited to between 200-400 words.
 Family Interiors Nutrition & Apparel, The purpose of this award is to recognize the long-term contribution of Dr. Herbert Zettl to the Broadcast & Electronic Communication Arts (BECA) Department by providing financial assistance to two students who are majoring in BECA and have reached the senior year of their baccalaureate degree program. Award intends to honor the student recipients for the high quality of their academic achievement in the BECA department and provide the opportunity for them to devote full time creative energy to the study and advancement of the art of broadcast and electronic communication in the senior year.,"
1) Part time minimum enrollment at SF State or enrolled in at least half-time at another college or high school senior at the time of application.
2) Applicants must include a detailed explanation of their academic achievement, supported by a letter of recommendation.
3) Students must be actively involved in the empowerment of LGBTQ in the Bay Area Community, especially but not exclusively to those who are advocating and educating students in the prevention of HIV/AIDS.", Any, HS Seniors:  N/A; Undergrad:  Senior; Grad:  N/A, Entering and continuing, Undergrad:  6 UNITS; Grad:  4 UNITS, Not a Requirement, Any, HS GPA:  2.5; Undergrad GPA:  2.5; Grad GPA:  2.5, Library/Friends of the Library, EP 103," 1600 Holloway, San Francisco, California 94132", N/A, beca@sfsu.edu, http: //gcoe.sfsu.edu/current-students/scholarships, varies,minimum of $6000 per year,Physics & Astronomy,04/19/2024,"Submit SFSU transcripts in PDF format Please write a paragraph telling us 1) what you would like the award to cover; 2) how much you are requesting ($400 max), 3) when you need the money, 4) your financial need (you don't need to be particularly penniless to apply, but give us a sense of how this would be helpful!) 5) how this award would contribute (in a modest way) to your education."
 Special Education, Support dietetics (DFM) and nutrition (FCS) students.,"
1) Must be enrolled in one or more Chinese classes in the semester of application.
2) Special consideration given to those from educationally, environmentally, or economically disadvantaged backgrounds.
3) Disclosure of any other scholarship aid received is required."," Multiple:  Dietetics, Family and Consumer Sciences with nutrition emphasis"," Undergrad:  Freshman, Sophomore, Junior, & Masters/MFA", Continuing, Undergrad:  N/A; Grad:  FULL-TIME, Yes, Any, HS GPA:  N/A; Undergrad GPA:  N/A; Grad GPA:  N/A, Family Interiors Nutrition & Apparel, HSS 222," 1600 Holloway Avenue, San Francisco, California 94132", (415) 338-2352, fol@sfsu.edu, http: //music.sfsu.edu/,"varies
Amount of Award:  varies","$2,500.00",Associated Students,04/30/2024,Please write a goal statement. What are your professional goals? (One page maximum) Please write a statement of financial aid. Why do you need this scholarship? (One page maximum).
 Kinesiology," Assist promising students in the College of Education who are working toward achieving their teaching credential in Special Education, specializing in moderate to severe disabilities, or severe disabilities, and; during the semester of student teaching.","
1) Must be film major.
2) Selection based on academic achievement, innovations and technical qualities of student’s film/video project.
3) Nominations are solicited from Cinema faculty for outstanding students in various areas of film production, such as screenwriting, sound recording, editing, experimental film, animation, etc."," Single:  Special Education,"," Undergrad:  Sophomore, Junior, Senior; Grad:  Masters, Dietetics 2nd BA", Continuing SF State student, Undergrad:  6 UNITS; Grad:  N/A, Not a Requirement, Any, HS GPA:  N/A; Undergrad GPA:  3.0 (Entering grad student); Grad SF State GPA (Continuing Grad student):  3.0, Loretta Seva’aetasi, CA 141," 1600 Holloway, San Francisco, California 94132-4011", (415) 338-1003, fina@sfsu.edu, http: //www.physics.sfsu.edu, Varies,"$2,000.00",College of Ethnic Studies,11/08/2024,"Upload your latest academic transcript. Unofficial transcripts are acceptable. Describe your commitment to developing your leadership skills and how you use these skills in the service of our communities. Relate this leadership and service to some portion of what you have learned in Ethnic Studies. Please describe your financial need. Submit a letter of recommendation from a professor or community leader familiar with your academic, professional, and/or community work."
 College of Health and Social Sciences," This is a distress fund for students who are currently experiencing an unexpected financial burden in order to complete the degree program, determined by Chair, faculty and/or staff.","
1) Senior in Child and Adolescent Development (CAD) or GCOE students with a concentration/major in early childhood education.
2) Demonstrate evidence of community involvement, with emphasis toward activities with children;
3) Academic leadership;
4) Demonstrate financial need;
5) Devoted time and energy toward providing a quality educational experiences to young children with disabilities;
6) Have completed, or in the progress of completing, at least 18 hours of course credit in the Special Education program at SF State; OR have Special Education declared as their minor.", Single:  Kinesiology," Undergrad:  N/A, Grad:  Masters/Credential", Continuing/Currently enrolled SFSU student, Undergrad:  12-6 UNITS; Grad:  8-6 UNITS, Not a Requirement, Any, HS GPA:  N/A; Undergrad SF State GPA:  2.5; Grad GPA:  N/A, Kinesiology Department, EP 121," 1600 Holloway Avenue, San Francisco, California 94132", (415) 338-7613, retta@sfsu.edu, http: //dos.sfsu.edu/content/student-life, varies,"$1,000.00",College of Liberal & Creative Arts,11/15/2021,Please write a short essay (no more than 500 words) about Richard and Mildred Loving and their contributions to the discipline of Critical Mixed Race Studies. How can you advance the work of Critical Mixed-Race Studies?
 Department of Philosophy," The purpose of the Lewenstein Scholarship is to financially assist promising SF State students who are pursuing a major in the social sciences. For the purposes of this scholarship alone, social sciences is defined as belonging to any of the following departments:  Anthropology; Child and Adolescent Development; Counseling; Economics; Ethnic Studies:  Africana, American Indian, Asian American, and Latina/o Studies; FINA:  Family, Interiors, Nutrition and Apparel; Geography; Health Education; History; International Relations; Labor and Employment Studies; PACE:  Criminal Justice, Environmental Studies, Gerontology, Public Administration, Urban Studies; Political Science; Psychology; Recreation, Parks, and Tourism; Social Work; Sociology/Sexuality Studies; Women and Gender Studies.","
1. Full-time enrollment at the undergraduate or graduate level, however, students may be enrolled part-time at the undergraduate or graduate level if they have field work, an internship, or a grant of study that takes them out of the classroom and is in the field of American Indian Studies and Plant Biology.
2. Transfer and incoming students may apply
3. Minimum GPA of 2.5; preference will be given to students with a GPA of 3.0 or higher.
4. Preference will be given to people who come from economically disadvantaged backgrounds or who are working within the communities represented by American Indian Studies."," Multiple:  Anthropology; Child and Adolescent Development; Counseling; Economics, (Ethnic Studies)=Africana Studies, American Indian Studies, Asian American Studies and Latina/o Studies; (FINA)= Family Interiors, Nutrition and Apparel; Geography; Health Education; History, International Relations, Labor and Employment Studies; (PACE)= Criminal Justice, Environmental Studies, Gerontology, Public Administration, Urban Studies, Political Science, Psychology, Recreation, Parks and Tourism; Social Work; Sociology/Sexuality Studies and Gender Studies."," Undergrad:  Sophomore, Junior, Senior, Graduating Senior; Grad:  N/A", Continuing, Undergrad:  N/A; Grad:  4 UNITS, Not a Requirement, US Citizen/Perm Res, HS GPA:  N/A; Undergrad GPA:  N/A; Grad GPA:  3.0, Nicole Corrales CHSS Associate Dean’s Office, BH 502B," 1600 Holloway, San Francisco, California 94132", (415) 338-1693, kinesiol@sfsu.edu, College of Ethnic Studies, 2,varies,Counseling,06/30/2023,Upload your manuscript here How does your work express a social conscience?
 Graduate College of Education," The purpose of the Dr. Anita Silvers Scholarship in Philosophy for Fall Applicants is to provide
substantial scholarship assistance to students who have been accepted into the M.A. program in
Philosophy. The number and size of scholarship awards may vary from year to year based
on the applicant pool. It is the Donor’s wish that the scholarship award be significant enough to recruit
and retain students of a caliber who will strengthen the reputation, mission and standing of the program
both as a leader in the field of Philosophy education in higher public education and as a leader in
diversifying the field of Philosophy.","
1) Candidates will be nominated and selected by a committee of three faculty members in Africana Studies.
2) Students must demonstrate a history of community work and service and aim to be leaders in empowering African-American or other African Disaporic Communities, especially disadvantaged individuals within those communities.", Philosophy," Undergrad:  Freshmen, Sophomore, Junior and Senior; Grad:  Masters", Continuing, Undergrad:  N/A; Credential:  6 UNITS; MA+Credential:  4 UNITS, Not a Requirement, Any, HS GPA:  N/A; Undergrad GPA:  3.0; Grad GPA:  N/A," Jennifer Waller, Department of Philosophy", CA 138," 1600 Holloway Ave., San Francisco, California 94132", (415) 405-4109, nmc@sfsu.edu, http: //lca.sfsu.edu/scholarships, varies,up to 1000,Cinema,04/08/2024,"As the Director of Strategic Organizational Initiatives in the College of Business, Aaron was able to jump ""brain-first"" into every new task responsibly, while undertaking a position of confidence that was contagious. He was ever so collegial, a motivator, a team player, a creative thinker, and trail blazer. The Aaron Anderson Memorial Scholarship Fund is dedicated to building upon Aaron's legacy of developing graduate students in the College of Business into talented professionals. Within 1000 words please tell us how your qualities and goals match up Aaron Anderson's values and ideals"
 Division of Student Life, To provide support to prospective teachers., Applicants must by current SFSU students who demonstrate financial need (self-disclosed).," Multiple:  Multiple, Single or Special Education credential programs", Undergrad:  N/A; Grad:  Masters/MFA,Continuing San Francisco State University Students., Undergrad:  6 UNITS; Grad:  4 UNITS, No, Any, HS GPA:  N/A; Undergrad GPA:  N/A; Grad GPA:  3.0, Ty Robinson, TH 334," 1600 Holloway, San Francisco, California 94132", (415) 338-2993, phlsphr@sfsu.edu, http: //counseling.sfsu.edu/content/awards-and-scholarships, varies,"$2,500.00",Family Interiors Nutrition & Apparel,05/20/2022,"Essay 1: Where have you been? Describe your previous community service and impact, relevant work experience, or other life experiences that qualify you for a GCOE scholarship. (approx. 200 words; 6 points possible) Essay 2: Where do you want to go? Describe your educational and career goals, why these are important to the communities that you are going to serve, and how a scholarship could help you meet these goals. (approx. 200 words; 6 points possible) Essay 3: What do you need? Describe your working situation or other financial circumstances that increase your need for assistance. (approx. 200 words; 6 points possible) Essay 4: How are you a good match for this specific scholarship? Describe how the intent of this award will help you to achieve your educational and career goals. (100 words; 3 possible points"
" Chinese Program, Modern Languages and Literatures", To provide assistance and support to the educational advancement of students by awarding money to eligible SF State students.,"
1. A competition will be held between candidates who meet all eligibility requirements to determine recipient(s) of Bev’s POTL Pianist Scholarship.
2. Competition may be held at the spring or fall juries.
3. In addition to the scholarship award itself, recipient(s) of Bev’s POTL Pianist Scholarship may be invited to give and/or be featured in a recital/concert.
4. Meet or exceed the School of Music’s academic (minimum, cumulative GPA) and performance.", Any, Undergrad:  N/A; Grad:  Credential, Entering students, Undergrad:  FULL-TIME (12+ units); Grad:  FULL-TIME (8+ units), No, Any, Undergrad GPA:  2.0; Grad GPA:  2.0, Division of Student Life, SSB 403," 1600 Holloway, San Francisco, California 94132", (415) 338-3888, tyrob11@sfsu.edu, www.drc.sfsu.edu, varies,"Varies up to $15,000",Physics & Astronomy,11/10/2024,Submit a personal essay of two to three pages demonstrating interest in the improvement of the governance and polity of California in PDF format Submit SFSU transcripts in PDF format
